DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|40|15
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|36|22
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|61|1
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|55|4
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|56|2
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|63|1
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|22|39
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|54|3
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|28|29
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|18|29
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|44|6
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|43|8
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|51|5
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|48|3
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|69|1
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|19|471
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|39|11
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|45|8
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|42|8
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|33|33
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|24|41
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|41|11
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|31|33
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|52|2
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|27|27
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|35|15
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|49|4
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|29|27
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|26|33
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|21|47
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|20|98
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|25|32
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|47|6
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|32|19
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|59|5
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|50|5
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|30|27
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|64|1
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|58|2
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|34|27
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|23|35
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|38|18
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|53|2
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|46|6
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|37|18
2020-01|02|WOJ. DOLNOŒL¥SKIE|K|62|1
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|22|30
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|45|7
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|27|20
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|37|19
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|20|89
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|44|1
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|39|4
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|19|530
2020-01|02|WOJ. DOLNOŒL¥SKIE|M|25|16
