DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|LICZBA
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|54|1
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|46|6
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|28|18
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|51|2
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|56|2
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|41|13
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|20|39
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|26|15
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|36|8
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|37|16
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|49|3
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|59|1
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|42|5
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|40|2
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|47|1
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|35|11
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|25|17
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|48|5
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|21|27
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|53|4
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|45|3
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|44|7
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|34|6
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|63|1
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|18|72
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|29|13
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|23|28
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|32|17
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|19|162
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|27|21
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|38|9
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|30|12
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|31|14
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|24|32
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|33|12
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|43|6
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|39|4
2020-03|02|WOJ. DOLNOŒL¥SKIE|K|22|8
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|49|2
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|34|7
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|36|8
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|46|1
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|41|8
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|35|2
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|18|124
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|23|13
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|29|15
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|44|4
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|27|9
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|64|1
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|43|2
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|50|2
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|45|3
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|19|171
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|24|10
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|22|19
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|30|12
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|25|27
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|28|13
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|38|8
2020-03|02|WOJ. DOLNOŒL¥SKIE|M|37|4
