DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|45|8
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|24|30
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|20|99
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|29|25
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|63|2
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|46|4
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|54|4
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|36|17
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|61|2
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|33|31
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|52|5
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|25|40
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|50|10
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|31|41
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|57|3
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|22|47
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|39|8
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|51|1
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|37|17
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|28|26
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|44|15
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|23|35
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|30|20
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|35|19
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|40|7
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|26|37
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|32|21
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|34|19
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|59|1
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|47|9
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|18|148
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|38|14
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|41|8
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|53|6
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|79|1
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|58|2
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|84|1
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|21|51
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|42|13
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|49|4
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|55|4
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|56|5
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|27|41
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|19|371
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|48|5
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|67|1
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2022-03|02|WOJ. DOLNOŒL¥SKIE|K|43|9
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|36|7
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|23|23
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|29|10
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|31|18
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|20|112
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|41|8
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|26|26
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|50|3
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|19|417
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|22|38
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|24|29
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|34|13
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|27|23
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|39|8
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|49|5
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|37|12
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|45|3
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|21|79
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|28|24
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|52|2
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|18|236
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|35|20
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|30|19
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|47|5
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|44|5
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|48|3
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|43|4
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|46|4
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|61|2
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|25|24
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|16|3
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|32|9
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|51|3
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|33|13
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|38|15
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|40|6
2022-03|02|WOJ. DOLNOŒL¥SKIE|M|42|7
