DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|LICZBA
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|36|2
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|31|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|29|3
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|48|2
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|27|2
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|18|6
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|39|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|38|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|41|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|21|2
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|19|8
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|25|2
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|33|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|28|3
2020-04|02|WOJ. DOLNOŒL¥SKIE|K|20|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|20|3
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|63|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|35|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|36|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|22|2
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|26|2
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|25|2
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|24|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|21|3
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|30|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|28|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|39|1
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|18|6
2020-04|02|WOJ. DOLNOŒL¥SKIE|M|19|7
