DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|59|2
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|28|16
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|35|9
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|47|9
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|37|13
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|16|4
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|61|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|38|13
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|21|34
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|51|8
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|25|15
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|40|14
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|20|69
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|53|4
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|42|17
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|45|5
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|50|5
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|27|27
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|33|20
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|34|22
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|23|20
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|39|6
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|43|6
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|52|5
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|22|31
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|26|32
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|17|3
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|44|9
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|58|2
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|32|16
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|46|5
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|57|2
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|19|223
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|64|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|48|3
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|36|20
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|54|3
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|24|28
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|41|13
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|18|196
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|29|16
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|30|21
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|31|27
2022-04|02|WOJ. DOLNOŒL¥SKIE|K|49|4
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|25|5
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|64|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|18|281
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|36|13
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|16|10
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|29|19
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|47|5
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|61|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|58|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|59|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|19|234
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|54|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|41|6
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|27|17
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|15|4
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|26|16
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|33|15
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|53|3
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|44|9
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|35|12
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|17|15
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|22|24
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|34|8
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|48|4
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|52|1
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|21|52
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|24|25
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|42|5
2022-04|02|WOJ. DOLNOŒL¥SKIE|M|23|17
