DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|ILOSC
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|53|6
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|67|1
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|54|2
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|17|3
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|66|1
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|42|4
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|21|23
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|25|24
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|32|11
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|27|22
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|38|16
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|22|38
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|30|17
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|34|20
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|29|17
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|52|4
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|69|1
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|48|3
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|14|2
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|56|1
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|47|2
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|19|162
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|51|8
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|24|26
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|37|12
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|26|23
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|39|11
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|55|2
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|59|2
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|15|1
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|62|1
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|31|17
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|41|15
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|20|53
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|33|17
2019-09|02|WOJ. DOLNOŒL¥SKIE|K|28|24
