DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|18|342
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|25|23
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|29|22
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|31|18
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|32|13
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|50|3
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|54|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|30|24
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|33|15
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|38|12
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|47|4
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|28|16
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|45|7
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|56|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|19|122
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|52|2
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|35|8
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|15|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|68|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|23|29
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|65|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|21|37
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|41|9
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|48|2
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|14|2
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|36|11
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|20|50
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|26|21
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|44|7
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|16|6
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|34|10
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|24|34
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|42|10
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|22|25
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|43|7
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|27|23
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|37|11
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|40|7
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|39|9
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|46|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|61|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|57|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|53|5
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|49|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|38|5
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|46|3
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|21|46
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|37|8
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|15|17
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|44|3
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|56|1
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|33|8
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|43|6
2021-09|02|WOJ. DOLNOŒL¥SKIE|M|26|16
