DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|LICZBA
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|40|5
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|59|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|18|115
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|23|13
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|56|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|55|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|41|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|43|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|51|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|35|4
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|27|5
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|45|3
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|38|6
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|30|7
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|36|3
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|50|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|52|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|42|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|28|5
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|29|8
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|25|11
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|49|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|26|7
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|31|4
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|57|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|33|10
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|22|12
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|21|12
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|46|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|32|9
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|39|4
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|34|5
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|20|20
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|44|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|19|76
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|24|11
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|54|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|48|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|K|37|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|37|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|33|4
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|16|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|40|3
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|46|3
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|49|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|38|4
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|17|4
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|29|11
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|34|3
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|31|5
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|47|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|21|17
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|27|8
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|39|4
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|53|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|50|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|28|8
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|24|7
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|43|5
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|36|6
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|56|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|52|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|20|21
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|48|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|18|170
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|19|102
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|25|14
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|15|6
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|44|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|41|3
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|35|5
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|26|4
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|14|1
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|32|5
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|42|2
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|22|12
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|23|12
2020-05|02|WOJ. DOLNOŒL¥SKIE|M|30|6
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|22|4
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|19|41
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|34|3
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|44|2
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|49|1
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|28|4
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|48|2
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|32|1
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|35|2
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|37|2
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|38|3
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|47|2
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|51|1
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|30|3
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|26|5
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|41|3
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|62|1
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|43|1
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|18|41
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|31|3
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|56|1
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|42|1
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|25|2
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|40|2
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|36|1
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|20|12
2020-05|04|WOJ. KUJAWSKO-POMORSKIE|K|21|3
