DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|LICZBA
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|56|4
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|40|5
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|62|2
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|37|13
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|42|7
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|38|12
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|33|18
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|55|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|52|4
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|58|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|20|60
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|18|282
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|21|46
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|39|10
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|51|8
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|29|25
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|41|4
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|64|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|49|4
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|46|6
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|34|18
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|23|31
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|47|6
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|59|3
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|65|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|26|32
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|35|20
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|54|6
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|53|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|50|3
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|28|23
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|36|20
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|30|27
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|44|7
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|32|15
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|43|11
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|45|7
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|61|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|57|3
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|19|156
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|24|24
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|25|30
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|27|34
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|22|29
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|31|25
2020-06|02|WOJ. DOLNOŒL¥SKIE|K|48|5
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|45|7
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|46|9
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|50|2
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|15|7
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|40|5
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|28|20
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|61|2
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|52|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|39|11
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|53|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|42|3
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|25|26
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|33|15
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|32|12
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|29|9
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|18|352
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|23|24
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|30|13
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|31|15
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|37|12
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|19|185
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|16|12
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|47|3
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|41|7
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|62|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|55|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|59|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|58|2
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|56|2
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|21|42
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|27|16
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|38|6
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|43|4
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|17|13
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|26|28
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|24|28
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|44|3
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|57|1
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|20|56
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|22|29
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|34|9
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|35|9
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|54|3
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|14|2
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|65|2
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|49|3
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|36|7
2020-06|02|WOJ. DOLNOŒL¥SKIE|M|48|2
2020-06|04|WOJ. KUJAWSKO-POMORSKIE|K|66|1
2020-06|04|WOJ. KUJAWSKO-POMORSKIE|K|45|4
2020-06|04|WOJ. KUJAWSKO-POMORSKIE|K|58|1
2020-06|04|WOJ. KUJAWSKO-POMORSKIE|K|31|11
