DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|23|23
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|26|22
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|46|5
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|31|19
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|48|4
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|43|7
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|65|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|42|8
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|19|123
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|22|29
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|44|4
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|67|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|38|9
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|17|4
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|16|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|47|5
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|57|3
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|55|4
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|15|3
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|45|3
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|29|18
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|21|37
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|64|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|41|4
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|52|2
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|37|10
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|51|3
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|30|22
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|20|59
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|33|18
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|40|9
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|49|3
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|54|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|50|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|68|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|24|36
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|18|271
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|27|28
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|34|13
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|35|16
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|25|28
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|28|32
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|36|18
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|39|8
2021-06|02|WOJ. DOLNOŒL¥SKIE|K|32|19
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|46|4
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|55|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|30|9
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|21|43
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|50|2
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|19|139
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|44|7
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|24|13
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|28|22
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|40|5
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|57|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|18|315
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|23|27
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|42|3
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|15|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|47|7
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|48|2
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|36|9
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|29|13
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|17|16
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|25|16
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|35|10
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|41|8
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|14|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|20|68
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|22|27
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|54|2
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|37|11
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|16|10
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|34|9
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|39|2
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|31|12
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|43|2
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|32|9
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|58|1
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|38|5
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|26|20
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|72|2
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|27|12
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|45|5
2021-06|02|WOJ. DOLNOŒL¥SKIE|M|33|14
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|54|1
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|59|3
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|52|2
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|18|239
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|21|27
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|26|19
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|29|11
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|14|1
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|22|18
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|40|8
2021-06|04|WOJ. KUJAWSKO-POMORSKIE|K|64|1
