DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|KOD_UPRAWNIENIA|LICZBA
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|16|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|16|AM|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|17|AM|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|17|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|18|AM|418
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|18|B1|419
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|18|B|419
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|18|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|19|B|136
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|19|B+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|19|AM|135
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|19|B1|136
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|19|T|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|19|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|20|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|20|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|20|B|68
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|20|B1|68
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|20|AM|68
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|20|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|21|B|39
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|21|B1|39
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|21|AM|39
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|B+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|C1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|B|30
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|B1|30
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|C|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|AM|30
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|A2|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|C+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|C1+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|A1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|22|T|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|23|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|23|B1|32
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|23|T|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|23|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|23|B+E|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|23|AM|32
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|23|B|32
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|23|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|24|B|31
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|24|AM|31
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|24|A1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|24|B1|31
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|24|A|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|24|A2|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|25|T|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|25|C1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|25|B1|29
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|25|B|29
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|25|AM|29
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|25|B+E|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|25|D1+E|1
