DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|41|12
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|30|22
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|46|6
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|20|49
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|19|106
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|34|18
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|56|1
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|57|1
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|18|314
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|24|26
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|35|27
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|33|17
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|32|25
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|23|20
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|69|2
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|37|8
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|36|15
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|48|4
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|15|1
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|26|28
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|58|1
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|40|9
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|27|22
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|44|5
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|62|1
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|16|6
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|43|5
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|25|34
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|29|21
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|31|17
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|45|5
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|52|5
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|50|2
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|65|1
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|38|15
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|22|36
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|42|14
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|54|7
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|47|3
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|53|3
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|51|3
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|17|4
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|28|26
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|49|6
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|55|1
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|21|48
2021-07|02|WOJ. DOLNOŒL¥SKIE|K|39|18
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|14|5
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|25|20
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|46|3
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|31|18
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|20|71
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|27|15
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|17|18
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|21|36
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|44|4
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|15|8
2021-07|02|WOJ. DOLNOŒL¥SKIE|M|71|1
