DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|15|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|47|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|28|23
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|38|15
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|34|8
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|21|31
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|48|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|40|10
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|18|355
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|35|19
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|36|29
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|22|27
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|24|26
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|50|7
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|55|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|20|56
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|16|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|23|38
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|39|6
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|37|18
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|26|32
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|31|25
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|46|6
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|56|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|25|30
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|45|4
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|29|18
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|42|7
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|33|13
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|41|6
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|32|19
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|27|22
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|44|6
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|51|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|53|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|57|3
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|49|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|19|110
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|30|27
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|43|7
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|59|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|K|52|3
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|38|7
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|41|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|47|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|14|9
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|17|11
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|54|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|18|396
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|62|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|45|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|40|4
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|32|11
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|15|8
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|50|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|39|4
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|26|14
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|25|22
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|44|3
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|58|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|36|11
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|21|49
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|28|18
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|42|4
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|31|11
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|67|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|51|1
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|43|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|55|2
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|24|17
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|19|145
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|22|25
2020-08|02|WOJ. DOLNOŒL¥SKIE|M|37|8
