DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|ILOSC
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|28|15
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|46|6
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|26|29
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|58|6
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|22|20
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|14|2
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|61|3
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|66|2
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|50|7
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|43|9
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|40|10
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|23|34
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|47|7
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|34|18
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|25|34
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|24|42
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|54|5
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|35|20
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|49|8
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|15|2
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|30|27
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|18|517
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|48|4
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|19|156
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|42|9
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|31|21
2019-10|02|WOJ. DOLNOŒL¥SKIE|K|45|10
