DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|63|1
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|51|7
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|50|2
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|46|5
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|53|1
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|15|1
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|29|24
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|27|24
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|20|71
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|18|465
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|28|25
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|21|41
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|24|26
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|39|7
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|57|1
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|25|37
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|26|30
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|54|4
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|31|22
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|36|20
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|16|7
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|68|1
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|65|2
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|55|1
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|48|8
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|40|9
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|34|18
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|47|5
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|37|9
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|22|29
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|42|15
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|49|4
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|14|3
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|32|15
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|43|7
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|44|4
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|23|42
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|19|128
2021-10|02|WOJ. DOLNOŒL¥SKIE|K|41|12
