DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|LICZBA
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|53|5
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|22|26
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|58|2
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|40|4
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|30|21
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|48|6
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|14|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|18|444
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|23|33
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|33|14
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|27|26
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|37|12
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|28|30
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|49|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|35|11
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|65|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|61|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|24|24
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|21|31
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|38|12
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|32|17
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|45|2
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|52|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|42|11
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|44|10
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|26|20
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|29|28
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|55|5
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|19|102
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|39|12
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|41|12
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|54|6
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|56|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|16|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|47|6
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|25|30
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|59|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|20|48
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|46|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|51|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|36|16
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|62|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|31|16
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|43|9
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|50|2
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|34|21
2019-11|02|WOJ. DOLNOŒL¥SKIE|K|64|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|39|8
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|38|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|36|9
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|67|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|33|13
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|31|10
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|23|16
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|28|16
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|42|4
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|35|9
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|50|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|21|21
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|22|27
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|47|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|15|2
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|45|3
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|55|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|40|4
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|14|7
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|17|8
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|60|2
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|25|15
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|34|12
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|43|2
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|46|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|19|92
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|32|8
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|37|5
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|41|2
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|57|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|48|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|53|1
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|20|42
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|18|480
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|26|12
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|24|18
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|44|4
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|16|12
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|27|7
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|29|15
2019-11|02|WOJ. DOLNOŒL¥SKIE|M|30|23
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|39|12
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|41|8
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|25|22
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|30|18
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|50|2
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|57|1
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|27|21
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|53|7
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|43|9
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|24|22
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|55|5
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|37|6
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|26|28
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|21|26
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|49|3
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|42|9
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|14|2
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|62|1
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|19|96
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|18|436
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|23|20
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|31|18
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|35|8
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|47|8
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|67|1
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|58|1
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|32|13
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|29|9
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|38|12
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|45|2
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|48|5
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|44|4
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|22|22
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|20|28
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|33|14
2019-11|04|WOJ. KUJAWSKO-POMORSKIE|K|40|7
