DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|24|24
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|66|1
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|42|6
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|28|18
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|58|1
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|18|559
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|53|3
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|20|85
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|30|18
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|34|18
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|37|13
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|38|10
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|43|7
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|25|40
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|39|11
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|41|7
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|55|1
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|51|5
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|48|5
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|60|2
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|33|31
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|32|25
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|36|13
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|49|2
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|27|40
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|40|12
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|19|147
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|31|24
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|45|6
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|54|2
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|67|1
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|47|4
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|22|32
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|23|37
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|29|24
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|35|19
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|26|25
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|52|1
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|21|49
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|46|4
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|17|1
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|50|2
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|62|3
2020-12|02|WOJ. DOLNOŒL¥SKIE|K|44|7
2020-12|02|WOJ. DOLNOŒL¥SKIE|M|34|8
2020-12|02|WOJ. DOLNOŒL¥SKIE|M|19|127
2020-12|02|WOJ. DOLNOŒL¥SKIE|M|36|6
2020-12|02|WOJ. DOLNOŒL¥SKIE|M|38|4
